Id	pop	system	habitat	ind	sex	species	centroid _size	BD	SL	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17
Lz1_15_r_MJ_G4_m_0_Abur	Lz1	Lunzua	r	MJG4	m	Abur	76.05724862	21.7658251	52.70856047	-0.277714622	0.002036253	-0.2315902	-0.04862489	-0.228511905	0.031436077	-0.16260966	0.034949485	-0.196789034	0.066722108	-0.194886068	-3.62E-04	-0.131260461	-0.094645353	-0.014990121	-0.124936986	-0.032754498	-0.063027718	-0.049495267	-0.011603216	-0.089785955	0.069855226	-0.06483435	0.15700913	0.322380976	0.075596487	0.412722103	0.066336082	0.417502279	-0.027809808	0.325311095	-0.03916932	0.197305688	-0.093761825
Lz1_15_r_MJ_G5_m_0_Abur	Lz1	Lunzua	r	MJG5	m	Abur	76.31371463	21.34662226	52.89962672	-0.27842186	0.004121532	-0.228582631	-0.044380037	-0.225631084	0.031347463	-0.160139332	0.034095013	-0.193844233	0.068816241	-0.190910785	-0.001110382	-0.140345422	-0.092947837	-0.019489014	-0.124554607	-0.037352483	-0.069719621	-0.04831032	-0.020699041	-0.083881232	0.071755424	-0.06994611	0.150732491	0.330052615	0.077447156	0.412132919	0.069219489	0.418837588	-0.024450175	0.329854588	-0.037080621	0.185976796	-0.092592487
Lz1_15_r_MJ_G6_f_0_Abur	Lz1	Lunzua	r	MJG6	f	Abur	61.22321127	16.04278223	43.20019332	-0.282768223	-8.27E-04	-0.232764862	-0.046312422	-0.23010951	0.027117564	-0.157574645	0.029334587	-0.196008753	0.06479964	-0.192399733	-0.007679855	-0.139465464	-0.090770999	-0.006143542	-0.107066696	-0.04100861	-0.055402885	-0.047753243	-0.009576024	-0.083719282	0.068602712	-0.072859968	0.146562507	0.325326587	0.073166956	0.420841871	0.059560315	0.423033452	-0.02974201	0.326376873	-0.03991783	0.186997054	-0.081848636
Lz1_15_r_MJ_G7_f_0_Abur	Lz1	Lunzua	r	MJG7	f	Abur	58.2378554	16.72989033	41.25242854	-0.288257589	-0.007279833	-0.239229275	-0.047657997	-0.237859761	0.028268423	-0.157779244	0.032197238	-0.199464084	0.07137807	-0.196204333	-0.010186089	-0.130043344	-0.095844921	-7.72E-04	-0.117667308	-0.017607551	-0.061450119	-0.036423649	-0.010401764	-0.080930489	0.081198216	-0.063747652	0.162874999	0.31383455	0.080936349	0.417453174	0.061760682	0.42132261	-0.035111338	0.315284543	-0.046653046	0.180424277	-0.08636156
Lz1_15_r_MJ_G8_f_0_Abur	Lz1	Lunzua	r	MJG8	f	Abur	58.41126421	16.02290546	40.90459966	-0.286789142	-0.001690072	-0.246474761	-0.041184165	-0.238131153	0.028884312	-0.157747091	0.032638439	-0.199504994	0.072056078	-0.195717118	-0.009052007	-0.130824399	-0.09312425	-0.004939486	-0.115549291	-0.024686007	-0.065666767	-0.043087112	-0.013543314	-0.077985384	0.065395486	-0.054556243	0.154309562	0.325062063	0.076233267	0.410510607	0.064985486	0.413391609	-0.027782584	0.326162054	-0.040567251	0.185316556	-0.086342929
Lz1_15_r_MJ_G9_m_0_Abur	Lz1	Lunzua	r	MJG9	m	Abur	66.9359283	18.65569834	46.61154856	-0.277888202	-0.003052519	-0.233920001	-0.044249699	-0.227214709	0.029418508	-0.162352153	0.033610322	-0.196284583	0.064609616	-0.192653117	-0.001546549	-0.147264115	-0.091320129	-0.01849324	-0.12341353	-0.034835122	-0.067448689	-0.045901999	-0.015609308	-0.082074943	0.06771557	-0.052029705	0.153407334	0.325434913	0.080605712	0.415237316	0.06785146	0.421682273	-0.026577657	0.325776575	-0.040691298	0.182780813	-0.083309143
Lz1_15_r_MJ_H1_m_0_Abur	Lz1	Lunzua	r	MJH1	m	Abur	55.31179853	14.98309661	38.67305966	-0.286163806	-0.013109318	-0.233344516	-0.051071389	-0.238746037	0.0285672	-0.163567005	0.030840383	-0.201213823	0.069222	-0.199652838	-0.007496166	-0.131619595	-0.095918913	-0.005736266	-0.111128495	-0.020391618	-0.053821658	-0.036314306	-0.004887797	-0.088334143	0.082478832	-0.058601577	0.154860805	0.328359837	0.078368639	0.410382898	0.056559821	0.413893815	-0.03455671	0.323779713	-0.0464081	0.187269266	-0.082499134
Lz1_15_r_MJ_H2_f_0_Abur	Lz1	Lunzua	r	MJH2	f	Abur	55.4046834	14.39716237	39.04984091	-0.286482543	0.009314172	-0.244718482	-0.040458237	-0.236404123	0.026700217	-0.15947013	0.028416045	-0.19805245	0.067557521	-0.198602232	-0.01092789	-0.13059971	-0.087814684	-0.01223741	-0.108444213	-0.023414738	-0.067433815	-0.036228989	-0.01730295	-0.079176116	0.066743966	-0.060355832	0.146984929	0.32071411	0.078553658	0.416094333	0.067547073	0.415761449	-0.028462199	0.325241397	-0.041014308	0.187931467	-0.089959284
Lz1_15_r_MJ_H3_m_0_Abur	Lz1	Lunzua	r	MJH3	m	Abur	75.86516934	21.51573306	52.28386429	-0.275963876	0.005807491	-0.228070648	-0.040463109	-0.227310781	0.0358589	-0.1637952	0.038132373	-0.196195935	0.0710794	-0.194972202	0.004640353	-0.142332078	-0.092896819	-0.021936034	-0.129599758	-0.036002318	-0.075778734	-0.047662836	-0.024751222	-0.082416083	0.05782815	-0.059757757	0.151686453	0.32356169	0.085036263	0.410805881	0.070255314	0.41454187	-0.018056817	0.327502006	-0.041388023	0.200004302	-0.097390214
Lz1_15_r_MJ_H4_m_0_Abur	Lz1	Lunzua	r	MJH4	m	Abur	70.47528011	19.39940418	49.53303064	-0.282135489	-0.00714155	-0.235923908	-0.045364207	-0.228100851	0.032146946	-0.159670334	0.034594234	-0.195153712	0.068828862	-0.191996139	-0.002065742	-0.142059091	-0.091848116	-0.009741722	-0.117008462	-0.030378204	-0.06231824	-0.04198186	-0.016636263	-0.088034402	0.069541915	-0.062377118	0.153301203	0.323247727	0.081751263	0.417246977	0.065813823	0.419295432	-0.026297337	0.322165722	-0.044716094	0.185596974	-0.092582233
